Name, Address
Trường THPT Hai Bà Trưng - Thạch Thất,"Tân Xã, h. Thạch Thất"
Trường THPT Thạch Thất,"120, đường 84, xã Kim Quan,, Kim Quan, Thạch Thất"
Trường THPT Phùng Khắc Khoan - Thạch Thất,"Bình Phú, h. Thạch Thất"
Trường THPT Bắc Lương Sơn,"Thôn 2,xã Yên Bình huyện Thạch Thất"
Trường THPT Phú Bình,"Cơ sở 1 Khu 900, Phú Mãn, Quốc Oai, Trụ Sở 2: thôn 9- Thạch Hòa -Thạch Thất"
Trường Phổ thông FPT,"Khuôn viên Đại học FPT, Khu Công nghệ Cao Hòa Lạc, Km 28 Đại lộ Thăng Long, Thạch Thất"
Trường THPT Phan Huy Chú - Thạch Thất,xã Bình Phú - huyện Thạch Thất
Trường Phổ thông liên cấp TH School Hòa Lạc,"Km 9 khu công nghệ cao Hòa Lạc, Thạch Thất"
Trường THPT Chương Mỹ A,Số 42 khu Yên Sơn - Thị trấn Chúc Sơn - huyện Chương Mỹ
Trường THPT Chương Mỹ B,"Xã Đồng Phú, huyện Chương Mỹ"
Trường THPT Chúc Động,số 23 Quang Trung - Hoàn Kiếm
Trường THPT Xuân Mai,"Khu Tân Bình, Thị trấn Xuân Mai, huyện Chương Mỹ"
THPT Nguyễn Văn Trỗi,"Hữu Văn, Chương Mỹ, Hà Nội"
Trường THPT Trần Đại Nghĩa,Thôn Phương Hạnh - Xã Tân Tiến - huyện Chương Mỹ
Trường THPT Đặng Tiến Đông,"Nội An, Xã Đại Yên, huyện Chương Mỹ"
Trường THPT Ngô Sĩ Liên,"tổ 5, khu Chiến Thắng, thị trấn Xuân Mai, huyện Chương Mỹ"
Trường THPT IVS,"tổ 1, thị trấn Kim Bài, huyện Thanh Oai"
Trường THPT Thanh Oai A,"xã Đỗ Động, huyện Thanh Oai"
Trường THPT Thanh Oai B,"Minh Kha, huyện Thanh Oai"
Trường THPT Nguyễn Du - Thanh Oai,"Xã Dân Hòa, huyện Thanh Oai"
