category,location,name,open_time,point,price
Gọi món Trung Hoa,"Số 23B Hai Bà Trưng, P. Tràng Tiền, Q. Hoàn Kiếm",Mỹ Tường Viên - Hai Bà Trưng,11h00 - 13h30 & 18h00 - 21h00,4,200.000 - 300.000 đ/người
Buffet lẩu,"Số 65 đường Nguyễn Khang, P. Trung Hòa, Q. Cầu Giấy",Lẩu Pháp (Cô Hai Lẩu Mắm Cần Thơ) - Nguyễn Khang,11h00 - 13h30 & 17h30 - 21h30,3.5,100.000  – 150.000 đ/người
Gọi món Thái Lan,"Tầng 3, TTTM Aeon Mall Long Biên, Số 27, Đ. Cổ Linh, Q. Long Biên",ThaiExpress - Aeon Mall Long Biên,10h30 – 21h30,3.9,250.000 - 350.000 vnđ/người
Gọi món Việt,"Số 18 Tôn Thất Thiệp, P. Điện Biên, Q. Ba Đình",Old Hanoi Restaurant - Tôn Thất Thiệp,11h00 – 14h00 & 17h00 – 22h30,3.6,200.000  – 300.000 đ/người
Gọi món Nhật Bản,"Số 85 Triệu Việt Vương, P. Bùi Thị Xuân, Q. Hai Bà Trưng",Kiraku - Triệu Việt Vương,11h00 - 14h00 & 18h00 - 22h30,3.7,150.000 - 300.000 đ/người
Gọi món Thái Lan,"B2-R2-10, Royal City, 72A Nguyễn Trãi, P. Thượng Đình, Q.Thanh Xuân",ThaiExpress - Royal City,T2-T6:10h30 – 21h30,3.9,250.000 - 350.000 đ/người
Gọi món Nhật Bản,"Shophouse SH 30 Nguyễn Chánh, P. Trung Hoà, Q. Cầu Giấy",Hatoyama – Nguyễn Chánh,10h00 - 14h00 & 17h00 - 23h00,4,600.000 - 800.000 vnđ/người
Chuyên món gà Hàn Quốc,"AEON Mall Long Biên, Tầng 3, Số 27 Cổ Linh, P. Long Biên, Q. Long Biên ",Yoogane Chicken Galbi - Aeon Mall Long Biên,T2-T6: 10h00 – 22h00,4,150.000 - 200.000 vnđ/người
Buffet Hải Sản,"Tầng 3, Tòa nhà Golden Field, Số 24 Nguyễn Cơ Thạch, Q. Nam Từ Liêm",Adobi Buffet - Nguyễn Cơ Thạch,11h00 -13h00 & 18h00 - 20h30,3.8,330.000 - 430.000 đ/người
Buffet Dimsum & Lẩu,"Số 35 Trần Kim Xuyến, P. Yên Hòa, Q. Cầu Giấy",Dimsum & Lẩu Trung Hoa - FengHuang – Trần Kim Xuyến,11h00 - 13h00 & 18h00 - 20h00,3.5,209.000 - 269.000 đ/người
Gọi món Việt (Chuyên hải sản),"Số 68A Nguyễn Văn Tuyết, P.Ngã Tư Sở, Q.Đống Đa ",Hải Sản Nhà Tôi - Nguyễn Văn Tuyết,10h00 – 22h00,3.5,150.000 - 300.000 đ/người
Chuyên món Trâu,"Lô CC01 – KĐT An Hưng, P. Dương Nội, Q. Hà Đông",Trâu Ngon Quán -  Hà Đông,10h30 - 14h00 và 17h30 - 21h30,4,200.000  – 250.000đ/người
Gọi món Việt,"Số 63, Đường Cổ Linh, P.Thạch Bàn, Q.Long Biên",63 Cổ Linh – Đường Cổ Linh,10h00 – 22h00,3.8,150.000 - 200.000 đ/người
Buffet nướng Hàn Quốc,"Số 37 Đỗ Quang, P. Trung Hòa, Q. Cầu Giấy",Box BBQ - Đỗ Quang,"11h00 – 13h00, 17h00 – 21h00",4,200.000 - 250.000 đ/người
Buffet nướng lẩu Hàn Quốc,"Số 293 Tô Hiệu, P. Nghĩa Tân, Q. Cầu Giấy",KIMHO BBQ - Buffet Nướng & Lẩu - Tô Hiệu,11h00 - 21h00,3.6,150.000 - 270.000 đ/người
Gọi món Thái ,"Số 9 Phan Chu Trinh, Q. Hoàn Kiếm",Gusto Thai – Phan Chu Trinh,10h00 - 22h00 ,3.8,250.000 – 300.000đ/người
Gọi món Âu (Hải sản & Steak),"1A Tăng Bạt Hổ, P. Phạm Đình Hổ, Q. Hai Bà Trưng",RICO Seafood & Grill - Tăng Bạt Hổ,11h00 – 13h00 và 18h00 – 21h30,4,700.000 – 1.200.000 đ/người
Buffet Nướng Lẩu Hàn Quốc,"D7-15-17-19, Tầng hầm B1, TTTM Times City, Số 458 Minh Khai, Q. Hai Bà Trưng",Gri & Gri - Times City,10h00 - 21h30,4,230.000 - 300.000 đ/người
Gọi món Việt,"Tầng 5, TTTM Indochina Plaza Hanoi, 241 Xuân Thủy, P.Dịch Vọng Hậu, Q.Cầu Giấy",Phố Ngon 37 - IPH Xuân Thủy,10h30 – 21h00,3.9,200.000 - 250.000 vnđ/người
Gọi món Mỹ," Lô T314, Tầng 3, TTTM Aeon Mall Long Biên, 27 Cổ Linh, Q. Long Biên",Cowboy Jack’s Saloon - Aeon Mall Long Biên,10h30 – 21h30,3.8,200.000 - 250.000 vnđ/người
