Name,Address
Tiểu học Thành Công A,"Ngõ 9 Nguyên Hồng, Thành Công, Ba Đình, Hà Nội"
Tiểu học Thành Công B,44 Khu H – Tập thể Thành Công – Phường Thành Công – Quận Ba Đình – TP Hà Nội (Ngõ 12 Láng Hạ)
Tiểu học Thủ Lệ,Số 3 – Ngõ 9 – Đào Tấn – Ngọc Khánh – Ba Đình – Hà Nội
Tiểu học Vạn Phúc,Ngõ 194 – phố Đội Cấn – quận Ba Đình – TP. Hà Nội
Tiểu học Đại Yên,"Số 167 Phố Đội Cấn, Ba Đình, Hà Nội"
Tiểu Học Việt Nam – CuBa,Số 115 Phố Nguyễn Trường Tộ
Trường Tiểu Học Hoàng Diệu,"Số 526 Phố Đội Cấn, Ba Đình, Hà Nội"
Trường Tiểu Học Hoàng Hoa Thám,"Số 2 Phố Vĩnh Phúc, Ba Đình, Hà Nội"
Tiểu Học Kim Đồng,Số 1 Trần Huy Liệu – Giảng Võ – Ba Đình – Hà Nội
Tiểu Học Nghĩa Dũng,"Số 55 Phố Nghĩa Dũng, Ba Đình"
Trường Tiểu Học Ngọc Hà,"Số 35, ngõ 55, Hoàng Hoa Thám, Ba Đình, Hà Nội"
Trường Tiểu Học Ngọc Khánh,"Số 20 Phố Nguyễn Công Hoan, Ba Đình, Hà Nội"
Tiểu Học Nguyễn Bá Ngọc,"Số 46 Liễu Giai, Cống Vị, Ba Đình, Hà Nội"
Tiểu Học Nguyễn Tri Phương,"Số 190 Phố Quán Thánh, Ba Đình, Hà Nội"
Tiểu Học Hà Nội,463 Đội Cấn – Ba Đình – Hà Nội
Tiểu Học Việt Nam Singapore,"2D, Khu Ngoại Giao Đoàn Vạn Phúc, 46 Vạn Bảo, quận Ba Đình, thành phố Hà Nội"
Trường Tiểu Học Thực Nghiệm,"50 Liễu Giai, Cống Vị, Ba Đình, Hà Nội"
,
,
Tiểu học Đại Từ,"Tổ 10, Phường Đại Kim, Quận Hoàng Mai, Hà Nội"
Tiểu học Thịnh Liệt,"Tổ 30 phường Thịnh Liệt, quận Hoàng Mai"
Tiểu học Lĩnh Nam,"Số 224/226 phố Nam Dư, phường Lĩnh Nam, quận Hoàng Mai"
Tiểu học Vĩnh Hưng,"Số 27/351 đường Lĩnh Nam, phường Vĩnh Hưng, quận Hoàng Mai"
Tiểu học Yên Sở,"Số 02 ngõ 223 phố Yên Duyên, phường Yên Sở, quận Hoàng Mai"
Tiểu học Mai Động,"Số 11 phố Mai Động, phường Mai Động, quận Hoàng Mai"
Tiểu học Định Công,"Số 122, tổ 16, phường Định Công, quận Hoàng Mai"
Tiểu học Đền Lừ,"Khu đô thị Đền Lừ, phường Hoàng Văn Thụ, quận Hoàng Mai"
Tiểu học Tân Mai,"Số 145 phố Tân Mai, phường Tân Mai, quận Hoàng Mai"
Tiểu học Chu Văn An,Khu đô thị Tây Nam Linh Đàm – phường Hoàng Liệt – quận Hoàng Mai – thành phố Hà Nội
Tiểu học Đại Kim,Số 2 – Ngõ 282 – Đường Kim Giang – Phường Đại Kim – Quận Hoàng Mai – TP. Hà Nội
Tiểu học Giáp Bát,"Số 120 đường Giáp Bát, phường Giáp Bát, quận Hoàng Mai"
Tiểu học Thanh Trì,"Số 1064 Nguyễn Khoái, phường Thanh Trì, quận Hoàng Mai"
Tiểu học Tân Định,"Số 35, phố Nguyễn An Ninh, phường Tương Mai, quận Hoàng Mai"
Tiểu học Hoàng Văn Thụ,"Số 19/160 đường Hoàng Mai, phường Hoàng Văn Thụ, quận Hoàng Mai"
Tiểu học Trần Phú,"Số 14 đường Khuyến Lương, P. Trần Phú, Quận Hoàng Mai, Thành phố Hà Nội"
Tiểu học Hoàng Liệt,"Tổ 18, phường Hoàng Liệt, quận Hoàng Mai"
Tiểu học Thúy Lĩnh,"143 Thúy Lĩnh, Lĩnh Nam, Hoàng Mai, Hà Nội"
Tiểu học Quốc Tế Thăng Long,"Lô X1, Linh Đàm, Khu đô thị Bắc Linh Đàm, Hoàng Mai, Hà Nội"
Tiểu học Bạch Dương,"Lô 13 Nguyễn Công Thái, KĐT Đại Kim Mới, Hoàng Mai, Hà Nội"
Tiểu học Quốc Tế Singapore,"Đường số 2 Khu đô thị Gamuda Gardens, Km 4.4 Pháp Vân, quận Hoàng Mai, thành phố Hà Nội"
,
,
Tiểu Học Võ Thị Sáu,35 Trần Hưng Đạo – Hoàn Kiếm – Hà Nội
Tiểu Học Nguyễn Du,"11-13 Hàng Tre, phường Lý Thái Tổ, quận Hoàn Kiếm, Hà Nội"
