,area,location,price
67, 30 m,"Quận Hai Bà Trưng, Hà Nội",11000000
68, 694 m,"Quận Hai Bà Trưng, Hà Nội",138800000
69, 01 m,"Quận Hoàng Mai, Hà Nội",48400000
70, 01 m,"Quận Hoàng Mai, Hà Nội",48400000
71, 1.300 m,"Quận Hoàng Mai, Hà Nội",48400000
72, 68 m,"Quận Hoàng Mai, Hà Nội",7000000
73, 30 m,"Quận Hoàng Mai, Hà Nội",35000000
74, 01 m,"Quận Hoàng Mai, Hà Nội",48400000
75, 01 m,"Quận Hoàng Mai, Hà Nội",48400000
76, 95 m,"Quận Hoàn Kiếm, Hà Nội",55000000
77, 10 m,"Quận Hoàn Kiếm, Hà Nội",8000000
78, 40 m,"Quận Hoàn Kiếm, Hà Nội",7000000
79, KXĐ,"Quận Hoàn Kiếm, Hà Nội",48400000
80, 24 m,"Quận Hoàn Kiếm, Hà Nội",28000000
81, 25 m,"Quận Hoàn Kiếm, Hà Nội",29000000
82, 20 m,"Quận Hoàn Kiếm, Hà Nội",48400000
83, 40 m,"Quận Đống Đa, Hà Nội",25000000
84, 20 m,"Quận Đống Đa, Hà Nội",18000000
85, 18 m,"Quận Đống Đa, Hà Nội",48400000
86, 80 m,"Quận Nam Từ Liêm, Hà Nội",27200000
87, 45 m,"Quận Nam Từ Liêm, Hà Nội",48400000
88, 11 m,"Quận Nam Từ Liêm, Hà Nội",48400000
89, 100 m,"Quận Bắc Từ Liêm, Hà Nội",37000000
90, 80 m,"Quận Bắc Từ Liêm, Hà Nội",48400000
91, 110 m,"Quận Bắc Từ Liêm, Hà Nội",22000000
92, 30 m,"Quận Thanh Xuân, Hà Nội",15000000
93, 25 m,"Quận Thanh Xuân, Hà Nội",4500000
94, 25 m,"Quận Thanh Xuân, Hà Nội",4500000
95, 300 m,"Quận Thanh Xuân, Hà Nội",120000000
96, 65 m,"Quận Thanh Xuân, Hà Nội",11000000
97, 200 m,"Quận Thanh Xuân, Hà Nội",48400000
98, 60 m,"Quận Thanh Xuân, Hà Nội",20000000
99, 55 m,"Quận Hoàng Mai, Hà Nội",10500000
100, 480 m,"Quận Hoàng Mai, Hà Nội",48400000
101, 1.300 m,"Quận Hoàng Mai, Hà Nội",48400000
102, 60 m,"Quận Hoàng Mai, Hà Nội",8000000
103, 60 m,"Quận Hoàng Mai, Hà Nội",8000000
104, 50 m,"Quận Hoàng Mai, Hà Nội",5000000
105, 1.000 m,"Quận Hoàng Mai, Hà Nội",48400000
106, 200 m,"Quận Nam Từ Liêm, Hà Nội",8400000
107, 150 m,"Quận Nam Từ Liêm, Hà Nội",48400000
108, 150 m,"Quận Nam Từ Liêm, Hà Nội",48400000
109, 11 m,"Quận Nam Từ Liêm, Hà Nội",48400000
110, 110 m,"Quận Bắc Từ Liêm, Hà Nội",22000000
111, 20 m,"Quận Bắc Từ Liêm, Hà Nội",11000000
112, 120 m,"Quận Thanh Xuân, Hà Nội",48400000
113, 40 m,"Quận Thanh Xuân, Hà Nội",12000000
114, 45 m,"Quận Hoàng Mai, Hà Nội",13000000
